TEAM_NAME,GAME_DATE,MATCHUP,home_away,OPP_TEAM_NAME,opponent_strength,FG3A,FG3M,FG3_PCT
Minnesota Timberwolves,2026-04-12,MIN vs. NOP,Εντός Έδρας,New Orleans Pelicans,Αδύναμη,37,10,0.27
Dallas Mavericks,2026-04-12,DAL vs. CHI,Εντός Έδρας,Chicago Bulls,Αδύναμη,49,22,0.449
Denver Nuggets,2026-04-12,DEN @ SAS,Εκτός Έδρας,San Antonio Spurs,Κορυφαία,30,11,0.367
New York Knicks,2026-04-12,NYK vs. CHA,Εντός Έδρας,Charlotte Hornets,Μεσαία,40,13,0.325
Brooklyn Nets,2026-04-12,BKN @ TOR,Εκτός Έδρας,Toronto Raptors,Μεσαία,34,9,0.265
Oklahoma City Thunder,2026-04-12,OKC vs. PHX,Εντός Έδρας,Phoenix Suns,Μεσαία,46,18,0.391
LA Clippers,2026-04-12,LAC vs. GSW,Εντός Έδρας,Golden State Warriors,Μεσαία,39,14,0.359
Sacramento Kings,2026-04-12,SAC @ POR,Εκτός Έδρας,Portland Trail Blazers,Μεσαία,21,7,0.333
Orlando Magic,2026-04-12,ORL @ BOS,Εκτός Έδρας,Boston Celtics,Κορυφαία,43,12,0.279
Portland Trail Blazers,2026-04-12,POR vs. SAC,Εντός Έδρας,Sacramento Kings,Αδύναμη,46,16,0.348
Houston Rockets,2026-04-12,HOU vs. MEM,Εντός Έδρας,Memphis Grizzlies,Αδύναμη,49,14,0.286
Cleveland Cavaliers,2026-04-12,CLE vs. WAS,Εντός Έδρας,Washington Wizards,Αδύναμη,43,18,0.419
Miami Heat,2026-04-12,MIA vs. ATL,Εντός Έδρας,Atlanta Hawks,Μεσαία,37,15,0.405
Charlotte Hornets,2026-04-12,CHA @ NYK,Εκτός Έδρας,New York Knicks,Κορυφαία,52,19,0.365
Phoenix Suns,2026-04-12,PHX @ OKC,Εκτός Έδρας,Oklahoma City Thunder,Κορυφαία,41,20,0.488
Utah Jazz,2026-04-12,UTA @ LAL,Εκτός Έδρας,Los Angeles Lakers,Κορυφαία,34,7,0.206
Golden State Warriors,2026-04-12,GSW @ LAC,Εκτός Έδρας,LA Clippers,Μεσαία,39,11,0.282
Boston Celtics,2026-04-12,BOS vs. ORL,Εντός Έδρας,Orlando Magic,Μεσαία,50,19,0.38
San Antonio Spurs,2026-04-12,SAS vs. DEN,Εντός Έδρας,Denver Nuggets,Κορυφαία,47,15,0.319
New Orleans Pelicans,2026-04-12,NOP @ MIN,Εκτός Έδρας,Minnesota Timberwolves,Κορυφαία,21,5,0.238
Philadelphia 76ers,2026-04-12,PHI vs. MIL,Εντός Έδρας,Milwaukee Bucks,Αδύναμη,41,16,0.39
Indiana Pacers,2026-04-12,IND vs. DET,Εντός Έδρας,Detroit Pistons,Κορυφαία,54,23,0.426
Los Angeles Lakers,2026-04-12,LAL vs. UTA,Εντός Έδρας,Utah Jazz,Αδύναμη,34,15,0.441
Atlanta Hawks,2026-04-12,ATL @ MIA,Εκτός Έδρας,Miami Heat,Μεσαία,44,17,0.386
Chicago Bulls,2026-04-12,CHI @ DAL,Εκτός Έδρας,Dallas Mavericks,Αδύναμη,38,10,0.263
Detroit Pistons,2026-04-12,DET @ IND,Εκτός Έδρας,Indiana Pacers,Αδύναμη,33,15,0.455
