Team,W,L,W/L%,PTS,ORtg,DRtg,Pace,3PAr,3P%,TS%
Oklahoma City Thunder,64,18,0.78,119.0,117.6,106.5,100.37,0.42536475869809204,0.365,0.5991460909493697
San Antonio Spurs,62,20,0.756,119.8,118.7,110.4,100.72,0.421579532814238,0.359,0.5946944124538343
Detroit Pistons,60,22,0.732,117.8,117.3,108.9,99.88,0.34525139664804466,0.356,0.5832607145686446
Boston Celtics,56,26,0.683,114.9,120.0,111.7,95.58,0.46674057649667405,0.367,0.5836753769252652
Denver Nuggets,54,28,0.659,122.1,121.2,116.0,99.49,0.40774487471526194,0.396,0.6157213167661771
Los Angeles Lakers,53,29,0.646,116.3,117.0,115.5,99.22,0.39307048984468335,0.359,0.6089515352071377
New York Knicks,53,29,0.646,116.5,118.7,112.3,97.71,0.4272930648769575,0.373,0.5897420321548617
Houston Rockets,52,30,0.634,115.2,117.5,112.1,96.98,0.3507795100222717,0.364,0.5754475703324808
Cleveland Cavaliers,52,30,0.634,119.5,118.3,114.1,100.7,0.4422222222222222,0.36,0.5944327271280194
Minnesota Timberwolves,49,33,0.598,118.0,115.6,112.5,101.5,0.4203389830508475,0.37,0.5921792195278625
Atlanta Hawks,46,36,0.561,118.5,115.0,112.9,102.5,0.42934782608695654,0.371,0.583973979893554
Toronto Raptors,46,36,0.561,114.6,115.0,112.1,99.22,0.36312217194570134,0.354,0.580570641160736
Philadelphia 76ers,45,37,0.549,115.9,114.3,114.4,100.39,0.3909191583610188,0.349,0.5725605659407975
Phoenix Suns,45,37,0.549,112.6,114.2,112.9,98.14,0.4528301886792453,0.361,0.5685031101058243
Orlando Magic,45,37,0.549,115.7,114.2,113.6,100.56,0.38618346545866367,0.343,0.576195219123506
Charlotte Hornets,44,38,0.537,116.0,118.4,113.5,97.59,0.48706411698537677,0.378,0.5891435072322444
Miami Heat,43,39,0.524,120.9,115.8,113.6,104.22,0.4062165058949625,0.361,0.5795781399808246
Portland Trail Blazers,42,40,0.512,115.5,113.1,113.5,101.63,0.4683684794672587,0.343,0.5707198482033443
LA Clippers,42,40,0.512,113.8,116.3,115.2,97.29,0.4043062200956938,0.368,0.602320362450777
Golden State Warriors,37,45,0.451,114.6,113.8,114.4,100.05,0.49662162162162166,0.356,0.584193140573386
Milwaukee Bucks,32,50,0.39,110.6,112.2,118.3,98.33,0.45730994152046783,0.387,0.5888993014142102
Chicago Bulls,31,51,0.378,116.3,112.1,117.4,103.22,0.4430939226519337,0.356,0.5799457454023218
Dallas Mavericks,26,56,0.317,114.1,110.3,115.5,102.62,0.35523385300668153,0.344,0.5640026890224612
New Orleans Pelicans,26,56,0.317,115.5,113.3,117.6,101.37,0.3546961325966851,0.347,0.5672442244224423
Memphis Grizzlies,25,57,0.305,114.7,112.4,118.4,101.69,0.4359823399558499,0.353,0.5698982431035854
Sacramento Kings,22,60,0.268,111.0,110.6,120.3,100.12,0.3393258426966292,0.34,0.5604249131593828
Utah Jazz,22,60,0.268,117.6,112.7,120.8,103.54,0.4028540065861691,0.345,0.5751623757727522
Brooklyn Nets,20,62,0.244,105.9,108.2,118.2,97.6,0.4544378698224852,0.34,0.5596068484464173
Indiana Pacers,19,63,0.232,112.4,110.1,117.9,101.78,0.4219977553310887,0.356,0.5676767676767677
Washington Wizards,17,65,0.207,112.9,109.7,121.5,102.49,0.40265486725663713,0.359,0.5660396277875822
